player_id,old_player_id,player_name_j,player_name_e,nationality,player_slot_category,last_seen_team_id,last_seen_jersey_number,created_at,updated_at
8839,,岡本 飛竜,Hiryu Okamoto,日本,日本人選手,706,3,2026-03-03 07:36:27.495907+00,2026-03-03 07:36:27.495907+00
51000376,,大石 空汰,Sorata Oishi,日本,日本人選手,1638,17,2026-03-05 23:18:01.487539+00,2026-03-05 23:18:01.487539+00
26889,,中西 佑介,Yusuke Nakanishi,日本,日本人選手,1638,66,2026-03-03 08:25:04.626419+00,2026-03-03 08:25:04.626419+00
51000230,,武内 理貴,Riki Takeuchi,日本,日本人選手,721,17,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
55000578,,関谷 間,Aima Sekiya,日本,日本人選手,704,00,2026-03-03 08:25:04.626419+00,2026-03-03 08:25:04.626419+00
8739,,中務 敏宏,Toshihiro Nakatsuka,日本,日本人選手,729,18,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
9044,,福澤 晃平,Kohei Fukuzawa,日本,日本人選手,712,2,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
15816,,林 翔太郎,Shotaro Hayashi,日本,日本人選手,712,33,2026-03-05 23:27:06.34015+00,2026-03-05 23:27:06.34015+00
19957,,熊谷 航,Ko Kumagai,日本,日本人選手,716,11,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
18428,,栗原 ルイス,Louis Kurihara,日本,日本人選手,716,12,2026-03-05 13:29:27.395803+00,2026-03-05 13:29:27.395803+00
30436,,星野 曹樹,Tomoki Hoshino,日本,日本人選手,713,2,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
51000167,,鍵冨 太雅,Taiga Kagitomi,日本,日本人選手,712,24,2026-03-05 13:29:27.395803+00,2026-03-05 13:29:27.395803+00
30512,,杉本 天昇,Tensho Sugimoto,日本,日本人選手,695,10,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
5100000066,,木村 圭吾,Keigo Kimura,日本,日本人選手,695,14,2026-03-05 13:29:27.395803+00,2026-03-05 13:29:27.395803+00
20037,,佐々木 隆成,Ryusei Sasaki,日本,日本人選手,697,24,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
8476,,池田 雄一,Yuichi Ikeda,日本,日本人選手,695,32,2026-03-05 23:27:06.34015+00,2026-03-05 23:27:06.34015+00
5100000044,,遠藤 善,Zen Endo,日本,日本人選手,695,34,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
20003,,玉木 祥護,Shogo Tamaki,日本,日本人選手,695,65,2026-03-05 23:27:06.34015+00,2026-03-05 23:27:06.34015+00
8462,,小林 遥太,Ryota Kobayashi,日本,日本人選手,692,0,2026-03-05 13:29:27.395803+00,2026-03-05 13:29:27.395803+00
51000150,,モサク オルワダミロラ 雄太 ジョセフ,Oluwadamilola Yuta Joseph Mosaku,日本,日本人選手,695,2,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
5100000025,,兪 龍海,Tatsumi Yu,日本,日本人選手,697,15,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
8557,,村越 圭佑,Keisuke Murakoshi,日本,日本人選手,726,92,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
51000180,,マーフィージュニア トロイ,Troy Murphy Jr.,日本,日本人選手,696,4,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
9310,,山下 泰弘,Yasuhiro Yamashita,日本,日本人選手,1638,5,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
18461,,岸田 篤生,Atsuki Kishida,日本,日本人選手,1638,20,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
8468,,田口 成浩,Shigehiro Taguchi,日本,日本人選手,693,5,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
5100000039,,上澤 俊喜,Toshiki Kamisawa,日本,日本人選手,721,10,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
51000342,,阿部 真冴橙,Masato Abe,日本,日本人選手,692,96,2026-03-03 08:46:17.378534+00,2026-03-03 08:46:17.378534+00
22497,,コー・フリッピン,Koh Flippin,日本,日本人選手,701,4,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
30513,,大浦 颯太,Sota Oura,日本,日本人選手,693,3,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
8727,,川嶋 勇人,Hayato Kawashima,日本,日本人選手,693,12,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
30519,,細川 一輝,Kazuki Hosokawa,日本,日本人選手,697,29,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
18845,,中村 功平,Kohei Nakamura,日本,日本人選手,712,13,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
30437,,山口 颯斗,Hayato Yamaguchi,日本,日本人選手,712,17,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
8561,,平尾 充庸,Atsunobu Hirao,日本,日本人選手,712,25,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
12599,,冨岡 大地,Daichi Tomioka,日本,日本人選手,695,5,2026-03-05 23:27:06.34015+00,2026-03-05 23:27:06.34015+00
51000322,,山本 楓己,Fuki Yamamoto,日本,日本人選手,716,5,2026-03-05 13:29:27.395803+00,2026-03-05 13:29:27.395803+00
51000116,,脇 真大,Masahiro Waki,日本,日本人選手,701,18,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
30526,,渡辺 翔太,Shota Watanabe,日本,日本人選手,692,15,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
5100000023,,中村 拓人,Takuto Nakamura,日本,日本人選手,721,12,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
8446,,伊藤 駿,Takashi Ito,日本,日本人選手,693,16,2026-03-05 13:29:27.395803+00,2026-03-05 13:29:27.395803+00
30458,,荒川 颯,Hayate Arakawa,日本,日本人選手,702,10,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
51000231,,高橋 克実,Katsumi Takahashi,日本,日本人選手,704,7,2026-03-05 23:41:53.163476+00,2026-03-05 23:41:53.163476+00
51000136,,野﨑 由之,Yoshiyuki Nozaki,日本,日本人選手,696,3,2026-03-05 13:29:27.395803+00,2026-03-05 13:29:27.395803+00
30403,,西田 優大,Yudai Nishida,日本,日本人選手,728,19,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
8467,,安藤 誓哉,Seiya Ando,日本,日本人選手,720,3,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
15756,,阿部 諒,Ryo Abe,日本,日本人選手,720,13,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
8654,,津山 尚大,Shota Tsuyama,日本,日本人選手,720,26,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
10852,,水野 幹太,Kanta Mizuno,日本,日本人選手,699,3,2026-03-03 08:25:04.626419+00,2026-03-03 08:25:04.626419+00
8738,,張本 天傑,Tenketsu Harimoto,日本,日本人選手,729,8,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
