schedule_key,team_id,opponent_team_id,is_home,points,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,off_rebounds,def_rebounds,total_rebounds,assists,steals,blocks,turnovers,possession,pace,off_rtg,def_rtg,net_rtg,efg_pct,ts_pct,ast_pct,tov_pct,ast_tov_ratio,orb_pct,drb_pct,fbp_pct,scp_pct,pitp_pct,opp_efg_pct,opp_ts_pct,opp_tov_pct
502714,713,721,True,51,28,54,0.5185185185185185,9,24,0.375,17,22,0.7727272727272727,5,27,32,23,13,5,15,71.068,71.068,71.76225586761974,46.43440085551866,25.327855012101082,0.6018518518518519,0.4004396984924623,82.14285714285714,19.064565327910522,1.5333333333333334,20.0,72.97297297297297,0.4117647058823529,0.09803921568627451,0.6274509803921569,0.4017857142857143,0.2751834556370914,25.93873517786561
502714,721,713,False,33,19,56,0.3392857142857143,7,19,0.3684210526315789,8,9,0.8888888888888888,10,20,30,9,7,1,21,71.068,71.068,46.43440085551866,71.76225586761974,-25.327855012101082,0.4017857142857143,0.2751834556370914,47.36842105263158,25.93873517786561,0.42857142857142855,27.027027027027028,80.0,0.15151515151515152,0.30303030303030304,0.6060606060606061,0.6018518518518519,0.4004396984924623,19.064565327910522
502730,2488,726,True,50,30,60,0.5,7,18,0.3888888888888889,9,12,0.75,8,21,29,14,10,2,15,70.21960129310344,70.21960129310344,71.20518926231885,59.81235898034784,11.392830281971015,0.5583333333333333,0.3829656862745098,46.666666666666664,18.684603886397607,0.9333333333333333,27.586206896551722,65.625,0.18,0.14,0.84,0.4745762711864407,0.3201219512195122,20.581113801452787
502730,726,2488,False,42,25,59,0.423728813559322,6,21,0.2857142857142857,12,15,0.8,11,21,32,17,4,2,17,70.21960129310344,70.21960129310344,59.81235898034784,71.20518926231885,-11.392830281971015,0.4745762711864407,0.3201219512195122,68.0,20.581113801452787,1.0,34.375,72.41379310344827,0.16666666666666666,0.30952380952380953,0.8095238095238095,0.5583333333333333,0.3829656862745098,18.684603886397607
502716,704,703,True,39,29,73,0.3972602739726027,9,37,0.24324324324324326,24,34,0.7058823529411765,13,31,44,21,6,2,8,80.34455555555556,71.41738271604937,48.54093688156979,49.78557628878953,-1.2446394072197364,0.4589041095890411,0.22169167803547066,72.41379310344827,8.336807002917881,2.625,28.88888888888889,70.45454545454545,0.28205128205128205,0.3333333333333333,0.9743589743589743,0.5067567567567568,0.24950099800399203,14.868309260832627
502716,703,704,False,40,30,74,0.40540540540540543,15,38,0.39473684210526316,9,14,0.6428571428571429,13,32,45,21,3,3,14,80.34455555555556,71.41738271604937,49.78557628878953,48.54093688156979,1.2446394072197364,0.5067567567567568,0.24950099800399203,70.0,14.868309260832627,1.5,29.545454545454547,71.11111111111111,0.1,0.375,0.65,0.4589041095890411,0.22169167803547066,8.336807002917881
502724,698,700,True,39,27,69,0.391304347826087,5,22,0.22727272727272727,14,20,0.7,13,21,34,21,12,4,12,76.30658333333334,76.30658333333334,51.10961374018624,64.21464290433656,-13.105029164150316,0.427536231884058,0.25064267352185093,77.77777777777777,13.3630289532294,1.75,28.88888888888889,58.333333333333336,0.28205128205128205,0.48717948717948717,1.0256410256410255,0.5579710144927537,0.32789079229122053,19.413287316652287
502724,700,698,False,49,34,69,0.4927536231884058,9,27,0.3333333333333333,11,13,0.8461538461538461,15,32,47,27,7,5,18,76.30658333333334,76.30658333333334,64.21464290433656,51.10961374018624,13.105029164150316,0.5579710144927537,0.32789079229122053,79.41176470588235,19.413287316652287,1.5,41.666666666666664,71.11111111111111,0.5102040816326531,0.30612244897959184,0.9387755102040817,0.427536231884058,0.25064267352185093,13.3630289532294
502712,712,728,True,37,21,56,0.375,10,30,0.3333333333333333,12,14,0.8571428571428571,5,29,34,17,3,1,13,68.68653846153846,68.68653846153846,53.867906039141026,59.691463448777895,-5.823557409636869,0.4642857142857143,0.2976190476190476,80.95238095238095,17.29643427354976,1.3076923076923077,14.285714285714286,74.35897435897436,0.2972972972972973,0.2702702702702703,0.5405405405405406,0.5,0.29369627507163326,11.421319796954315
502712,728,712,False,41,25,61,0.4098360655737705,11,28,0.39285714285714285,13,20,0.65,10,30,40,11,9,1,9,68.68653846153846,68.68653846153846,59.691463448777895,53.867906039141026,5.823557409636869,0.5,0.29369627507163326,44.0,11.421319796954315,1.2222222222222223,25.641025641025642,85.71428571428571,0.14634146341463414,0.3170731707317073,0.5853658536585366,0.4642857142857143,0.2976190476190476,17.29643427354976
502715,713,721,True,46,26,56,0.4642857142857143,7,20,0.35,20,23,0.8695652173913043,7,28,35,21,9,2,14,73.77698292220114,73.77698292220114,62.35006932786563,56.928324168920796,5.421745158944837,0.5267857142857143,0.34785238959467635,80.76923076923077,17.47378931602596,1.5,22.580645161290324,82.3529411764706,0.30434782608695654,0.13043478260869565,0.7391304347826086,0.5158730158730159,0.31992687385740404,20.571151984511133
502715,721,713,False,42,27,63,0.42857142857142855,11,32,0.34375,6,6,1.0,6,24,30,15,5,1,17,73.77698292220114,73.77698292220114,56.928324168920796,62.35006932786563,-5.421745158944837,0.5158730158730159,0.31992687385740404,55.55555555555556,20.571151984511133,0.8823529411764706,17.647058823529413,77.41935483870968,0.38095238095238093,0.16666666666666666,0.6666666666666666,0.5267857142857143,0.34785238959467635,17.47378931602596
